@id,name,shop,lng,lat
"node/2688456086","La Super Halle d'Oullins","farm",4.8199645,45.7130084
"node/2698586971","Chueweid","farm",7.4780346,46.8728059
"node/2698586973","Rohrer","farm",7.4950904,46.8993736
"node/2714854873","Ferme le Bourgas","farm",4.7705087,43.9484551
"node/2728307237","Schneider Hof - Hofladen","farm",7.7485685,47.8635543
"node/2742324795","Bauer Grundhöfer - Hofladen","farm",6.5876088,49.7142939
"node/2770245010","Hueso Sierra de Cazorla","farm",-3.131137,37.9146522
"node/2776981208","Comestibles-Piensos Felisa","farm",-3.0664987,37.8457814
"node/2779519854","La Ferme d'Agen","farm",2.6782793,44.3574339
"node/2779912654","Ferme de Leyritz","farm",1.2566368,45.8295642
"node/2795357472","La Ferme du Coin","farm",1.2403761,45.8201579
"node/2795357481","Saveurs Fermières","farm",1.2486548,45.8332006
"node/2795375530","Saveurs Fermières","farm",1.2576031,45.8456651
"node/2798732693","undefined","farm",3.0912063,36.7281961
"node/2810537764","Zoohandlung Marlene Burger","farm",6.9041628,49.4779654
"node/2853092049","Michel Suire","farm",-0.0868945,47.0779895
"node/2870169792","Au pré des fermes","farm",2.4305271,47.1364798
"node/2882959309","Glöckle Mühle","farm",7.8420962,48.2101683
"node/2894444556","undefined","farm",5.353705,43.9317219
"node/2906955550","Masson-Blondelet","farm",2.9543745,47.2852065
"node/2906961562","undefined","farm",2.7981819,47.3370951
"node/2907294989","Hofladen Walter","farm",7.7164754,48.0072496
"node/2933171482","Eichelberger Hof","farm",7.1697277,49.2287255
"node/2949524642","Hofladen","farm",7.7729571,48.0611527
